t	 v	 nai	 nass	 ki	 kss	 cai	 cass	 cansr	 cajsr	 Jrel	 CaMKt	 Jup	 Jtr	 Jdiff	 JdiffNa	 JdiffK	 Jleak	 INa	 INaL	 Ito	 ICaL	 ICaNa	 ICaK	 IKr	 IKs	 IK1	 INaCa_i	 INaCa_ss	 INaCa	 INaK	 IKb	 INab	 IpCa	 ICab	 Ist	 dt	 APD	
0.04802342795301229	 -83.9700133847893	 7.214036426228871	 7.214119464044241	 144.43340103056468	 144.4331324300516	 0.000084690188466637	 0.00008360492618321756	 1.590274827112769	 1.5446390235959917	 2.4318524337951867e-7	 0.012002772829441373	 0.000026961085633448616	 0.0004563679600769444	 -0.000005426253593972236	 0.000041517941363977684	 -0.00012235645282032692	 0.00041744715881615065	 -0.004127037496830168	 -0.00016381648349227175	 0.00006293163177046058	 -1.8053125923898672e-7	 -1.0038917956411466e-8	 1.515751813766507e-11	 0.012817536771837364	 -0.0000017994367685522162	 0.4755680744029803	 -0.01986182574826863	 -0.0048248354404891525	 -0.024686661188757782	 0.09646914047436718	 0.00004661374227248905	 -0.016672043690990016	 0.0000724232202872293	 -0.018738479641513764	 -80	 0.005	 272.0986488870112	
0.09802342799957841	 -80.0052798640975	 7.214035839149543	 7.214118905505604	 144.43364536806237	 144.43314180268226	 0.00008468896322838885	 0.00008360358499680034	 1.5902741909941082	 1.5446483112618734	 2.433832189314268e-7	 0.01200246000134082	 0.000026953740127964095	 0.0004562687201859261	 -0.000005426833069140918	 0.00004153144013896437	 -0.00024018729214958512	 0.00041744699183331695	 -0.008480817983058252	 -0.00027540238022831303	 0.00013942768118280847	 -2.1068912434608402e-7	 -1.1788228897384671e-8	 4.151768247491833e-11	 0.028876664657189858	 -7.722993545186808e-7	 0.7576822995191152	 -0.019950240543944994	 -0.00484725017084461	 -0.024797490714789604	 0.09880615851477785	 0.0001248305898789787	 -0.0159963259226438	 0.00007242232522349495	 -0.017868734870108767	 -80	 0.005	 272.0986488870112	
0.14802342804614454	 -76.04930912286399	 7.2140352481876855	 7.214118353077291	 144.43388900294167	 144.433156974664	 0.00008468772520194228	 0.00008360223061288113	 1.5902735549378654	 1.544657596938313	 2.444676545717384e-7	 0.012002147180158785	 0.000026946331591480045	 0.00045616950079908403	 -0.000005427414726013311	 0.00004155045529641299	 -0.0003547270169690364	 0.00041744682486695293	 -0.016118712775902714	 -0.000445550042017626	 0.0002237551622777355	 -3.0992289093644825e-7	 -1.7463394893746128e-8	 1.021900853581036e-10	 0.046077662752820596	 2.555755499892392e-7	 0.8328349411765377	 -0.020036502385222497	 -0.004869165449799909	 -0.024905667835022405	 0.10117915452905546	 0.0002375212093157361	 -0.015329889804995115	 0.00007242142079565613	 -0.01700372266480339	 -80	 0.005	 272.0986488870112	
0.19802342809271067	 -72.09397624568983	 7.21403466565832	 7.214117806404016	 144.43413242726206	 144.43317779128696	 0.00008468647451990992	 0.00008360086364228297	 1.5902729189408173	 1.544666880592176	 2.4801928810070706e-7	 0.012001834365878663	 0.00002693886072112567	 0.00045607030218331124	 -0.000005427996375834257	 0.000041568876373965224	 -0.00046631276958919443	 0.00041744665791621177	 -0.02856241297651247	 -0.0006946298771032816	 0.0003210746552439027	 -5.708949022854237e-7	 -3.243084231777854e-8	 2.7743764924974005e-10	 0.06431445149296504	 0.0000012909786473282876	 0.7849393876023624	 -0.02011856262138862	 -0.004890080550232403	 -0.025008643171621023	 0.10359571468522832	 0.00039677228337621143	 -0.014671858967845103	 0.00007242050709795037	 -0.01614221312415526	 -80	 0.005	 272.0986488870112	
0.2480234281392768	 -68.13472039195025	 7.214034110545087	 7.214117265327582	 144.43437590673517	 144.43320411117096	 0.00008468521136646549	 0.0000835994852782779	 1.5902722829997815	 1.544676162137268	 2.577563059545133e-7	 0.012001521558484922	 0.000026931328524215756	 0.0004559711250929732	 -0.000005428573303196138	 0.00004157756941491897	 -0.0005751584667734733	 0.0004174464909802567	 -0.04871804564790416	 -0.001068094823853572	 0.000437332316347041	 -0.0000012134897777342623	 -6.958123895180123e-8	 8.137847271500395e-10	 0.08343519728313509	 0.000002341752323175576	 0.6779868993355922	 -0.020193716543718952	 -0.004909333282232069	 -0.02510304982595102	 0.10606133497870122	 0.0006184828680026827	 -0.014022045974474378	 0.00007241958426023863	 -0.015283940713845164	 -80	 0.005	 272.0986488870112	
0.29802342818584293	 -64.16930680006412	 7.214033616595053	 7.214116730067698	 144.43461954893078	 144.43323580109052	 0.000084683936005494	 0.00008359809771030337	 1.590271647111633	 1.5446854413622726	 2.8245294733839357e-7	 0.012001208757964065	 0.000026923736507150446	 0.0004558719714312698	 -0.000005429136472530303	 0.00004156081218020802	 -0.0006813911936376371	 0.00041744632405826576	 -0.08344844090013809	 -0.0016744260474052105	 0.0005795736324446645	 -0.000002756775854063106	 -1.5977686930907442e-7	 2.4522794813817314e-9	 0.10324260518599444	 0.000003418131833325519	 0.5535098187182743	 -0.020258511051895033	 -0.00492607752638837	 -0.0251845885782834	 0.10858004276117537	 0.0009234188774674055	 -0.013380722657896833	 0.00007241865246864477	 -0.014429361244354437	 -80	 0.005	 272.0986488870112	
0.34802342823240906	 -60.1964334995805	 7.214033254614234	 7.214116201724343	 144.43486336677247	 144.43327273260002	 0.0000846826488078934	 0.00008359670497029522	 1.5902710112733271	 1.5446947177608512	 3.4277867731158765e-7	 0.012000895964306314	 0.000026916086915817734	 0.0004557728458102006	 -0.000005429668738543794	 0.00004148642348278386	 -0.000785085342940306	 0.00041744615714943737	 -0.15032747885272601	 -0.0027674897283618883	 0.0007563141277593168	 -0.000006419364947130526	 -3.7665782257843295e-7	 7.382329132418802e-9	 0.12349915025838443	 0.000004534586038628095	 0.4345822883978711	 -0.02030864187881163	 -0.004939258349429928	 -0.025247900228241558	 0.1111551868655633	 0.0013385766707828	 -0.01274837428672779	 0.00007241771198558301	 -0.013579377542332286	 -80	 0.005	 272.0986488870112	
0.3980234282789752	 -56.21399955253514	 7.214033191934329	 7.214115683656686	 144.43510732561361	 144.43331478013917	 0.00008468135027818175	 0.00008359531477193767	 1.5902703754819276	 1.5447039901333394	 4.872287879885369e-7	 0.012000583177508838	 0.000026908383099873677	 0.0004556737592095139	 -0.000005430136485579424	 0.000041279433638408136	 -0.0008862880651747673	 0.00041744599025299745	 -0.2955686216021226	 -0.004909621875828882	 0.0009780055015112805	 -0.000015045767358473761	 -8.953480832305136e-7	 2.1983361520898037e-8	 0.14393726278232938	 0.000005712409136619642	 0.33165685429710134	 -0.020338819126088	 -0.004947579587884609	 -0.02528639871397261	 0.11379051463684694	 0.001899044827727784	 -0.012125425178733852	 0.00007241676316926405	 -0.012735012792768018	 -80	 0.005	 272.0986488870112	
0.4480234283255413	 -52.21601903346689	 7.214033852261973	 7.214115185215128	 144.43535137314248	 144.43336182015065	 0.00008468004108020474	 0.000083593942637574	 1.5902697397346301	 1.54471325565819	 8.290398390198788e-7	 0.012000270397582463	 0.000026900630166277995	 0.00045557473751090205	 -0.000005430470741123606	 0.0000407514035880574	 -0.0009850354915812431	 0.00041744582336820615	 -0.6429051695693937	 -0.009249687345166842	 0.001257690518332284	 -0.00003524306502977918	 -0.0000021314004371738516	 6.465775099374677e-8	 0.16427731378178817	 0.0000069836629214410494	 0.2476682569035566	 -0.020342550779829382	 -0.004949451920706727	 -0.02529200270053611	 0.11649220405826273	 0.002650912023170679	 -0.011511809151754374	 0.0000724158064925949	 -0.011896855006583728	 -80	 0.005	 272.0986488870112	
0.49802342837210744	 -48.58538517436658	 7.214036343883262	 7.214114731811964	 144.43557084772115	 144.4334137307998	 0.00008467872206042571	 0.00008359262131017534	 1.5902691040287782	 1.5447225077360764	 0.000001631655990212975	 0.011999957624566173	 0.000026892836299364164	 0.00045547584131692574	 -0.000005430523982801776	 0.00003941072212798602	 -0.0010813617716678436	 0.0004174456564943624	 -1.5223753948023595	 -0.017832258146773385	 0.0016121374346519895	 -0.00008234385986775105	 -0.0000050731102798260344	 1.883194965999909e-7	 0.18426172048691233	 0.000008397887428454403	 0.18161826782451792	 -0.020311665886490953	 -0.004942878686044819	 -0.025254544572535772	 0.11927378527080301	 0.0036570360457283666	 -0.010906038486855746	 0.00007241484256046659	 -0.011063789406927097	 0	 0.005	 272.0986488870112	
