t      	v      	nai    	nass   	ki     	kss    	cai    	cass   	cansr  	cajsr  	Jrel   	CaMKt  	Jup    	Jtr    	Jdiff  	JdiffNa	JdiffK 	Jleak  	INa    	INaL   	Ito    	ICaL   	ICaNa  	ICaK   	IKr    	IKs    	IK1    	INaCa_i	INaCa_ss	INaCa  	INaK   	IKb    	INab   	IpCa   	ICab   	Ist    	dt     	APD    
5.380166e-01      	-48.5135	7.21404	7.21411	144.436	144.433	8.46777e-05	8.35916e-05	1.59027	1.54473	2.90077e-06	0.0119997	2.68866e-05	0.000455397	-5.43019e-06	3.70334e-05	-0.00105914	0.000417446	-2.8153	-0.026817	0.00179851	-0.000138912	-8.56095e-06	3.18811e-07	0.184579	8.67706e-06	0.180688	-0.0203103	-0.00494257	-0.0252529	0.11932	0.00367582	-0.0108963	7.24141e-05	-0.0110504	0      	0.005  	272.099
5.880166e-01      	-48.3371	7.21405	7.21411	144.436	144.434	8.46763e-05	8.35906e-05	1.59027	1.54474	5.34237e-06	0.0119994	2.68788e-05	0.000455299	-5.42906e-06	3.15754e-05	-0.00103199	0.000417445	-4.93137	-0.037099	0.00203156	-0.000206863	-1.27591e-05	4.79017e-07	0.185383	9.0567e-06	0.178346	-0.0203075	-0.00494195	-0.0252495	0.119436	0.00372378	-0.0108717	7.24131e-05	-0.0110164	0      	0.005  	272.099
6.380166e-01      	-48.0411	7.21407	7.21411	144.436	144.434	8.4675e-05	8.35897e-05	1.59027	1.54475	8.69696e-06	0.0119991	2.68711e-05	0.000455201	-5.42684e-06	2.26901e-05	-0.00100554	0.000417445	-7.52029	-0.0466207	0.00226898	-0.000273408	-1.68873e-05	6.42815e-07	0.186754	9.48394e-06	0.174405	-0.020303	-0.00494097	-0.025244	0.119635	0.00380698	-0.0108296	7.24121e-05	-0.0109583	0      	0.005  	272.099
6.880166e-01      	-47.6034	7.2141 	7.21412	144.436	144.434	8.46737e-05	8.35891e-05	1.59027	1.54476	1.29523e-05	0.0119988	2.68633e-05	0.000455104	-5.4232e-06	9.79154e-06	-0.00097977	0.000417445	-10.5259	-0.0557172	0.002516	-0.000340825	-2.10961e-05	8.19681e-07	0.188795	9.97422e-06	0.168663	-0.0202962	-0.00493949	-0.0252357	0.119933	0.00393425	-0.010767	7.24112e-05	-0.0108718	0      	0.005  	272.099
7.380166e-01      	-47.0035	7.21414	7.21412	144.436	144.434	8.46724e-05	8.35889e-05	1.59027	1.54477	1.81335e-05	0.0119985	2.68557e-05	0.000455008	-5.41784e-06	-7.64302e-06	-0.000954661	0.000417445	-13.9488	-0.0647515	0.00277856	-0.000412141	-2.55863e-05	1.02255e-06	0.191592	1.05449e-05	0.161018	-0.0202863	-0.00493732	-0.0252236	0.120344	0.00411589	-0.0106808	7.24102e-05	-0.0107528	0      	0.005  	272.099
7.880166e-01      	-46.2187	7.21418	7.21412	144.436	144.434	8.4671e-05	8.35891e-05	1.59027	1.54478	2.43166e-05	0.0119981	2.6848e-05	0.000454913	-5.41041e-06	-3.01722e-05	-0.000930199	0.000417445	-17.8617	-0.0741287	0.0030637	-0.00049159	-3.06406e-05	1.27036e-06	0.195233	1.12169e-05	0.151448	-0.0202719	-0.00493416	-0.025206	0.120887	0.0043656	-0.0105681	7.24092e-05	-0.010597	0      	0.005  	272.099
8.380166e-01      	-45.2205	7.21425	7.21412	144.436	144.434	8.46697e-05	8.35898e-05	1.59026	1.54478	3.16506e-05	0.0119978	2.68405e-05	0.00045482	-5.40052e-06	-5.85111e-05	-0.000906369	0.000417445	-22.428	-0.0843146	0.00338018	-0.000585479	-3.66839e-05	1.5932e-06	0.199819	1.20175e-05	0.13999	-0.0202511	-0.00492955	-0.0251806	0.121582	0.00470327	-0.0104252	7.24083e-05	-0.0103992	0      	0.005  	272.099
8.880166e-01      	-43.9688	7.21432	7.21413	144.436	144.434	8.46684e-05	8.35911e-05	1.59026	1.54479	4.03979e-05	0.0119975	2.6833e-05	0.000454728	-5.3877e-06	-9.3685e-05	-0.000883159	0.000417444	-27.9351	-0.0958569	0.00373961	-0.00070393	-4.4406e-05	2.0431e-06	0.205481	1.29846e-05	0.126719	-0.0202208	-0.00492273	-0.0251435	0.122459	0.0051597	-0.0102469	7.24073e-05	-0.0101522	0      	0.005  	272.099
9.380166e-01      	-42.4044	7.21442	7.21414	144.436	144.434	8.46671e-05	8.35932e-05	1.59026	1.5448 	5.10119e-05	0.0119972	2.68256e-05	0.000454638	-5.37135e-06	-0.000137249	-0.000860552	0.000417444	-34.8572	-0.109391	0.00415837	-0.000864594	-5.50262e-05	2.71866e-06	0.212393	1.41742e-05	0.111748	-0.0201757	-0.00491245	-0.0250882	0.123564	0.00578511	-0.010026	7.24063e-05	-0.00984576	0      	0.005  	272.099
9.880166e-01      	-40.4366	7.21454	7.21415	144.436	144.434	8.46657e-05	8.35961e-05	1.59026	1.54481	6.42985e-05	0.0119969	2.68183e-05	0.000454551	-5.35061e-06	-0.00019163	-0.000838534	0.000417444	-43.9736	-0.125597	0.00466109	-0.00110133	-7.09202e-05	3.82735e-06	0.220796	1.56733e-05	0.0952452	-0.0201067	-0.0048965	-0.0250032	0.124966	0.00666603	-0.00975125	7.24053e-05	-0.00946432	0      	0.005  	272.099
